date,supply_petroleum,supply_motorgas
10-Nov-00,19871,8216
17-Nov-00,20063,8419
24-Nov-00,19243,8063
1-Dec-00,19111,8233
8-Dec-00,20631,8711
15-Dec-00,20611,8475
22-Dec-00,20080,8400
29-Dec-00,21494,8693
5-Jan-01,21098,7825
12-Jan-01,20817,8225
19-Jan-01,19414,7894
26-Jan-01,20248,7338
2-Feb-01,20342,8589
9-Feb-01,20001,8032
16-Feb-01,19025,7850
23-Feb-01,20161,8187
2-Mar-01,20768,8489
9-Mar-01,19803,8425
16-Mar-01,19814,8484
23-Mar-01,19288,8475
30-Mar-01,19067,8507
6-Apr-01,18541,8306
13-Apr-01,19025,8438
20-Apr-01,18880,8708
27-Apr-01,18820,8404
4-May-01,20180,8665
11-May-01,18694,8275
18-May-01,19906,8917
25-May-01,18786,8270
1-Jun-01,18451,8809
8-Jun-01,19138,8428
15-Jun-01,18310,8393
22-Jun-01,19651,8921
29-Jun-01,20059,9036
6-Jul-01,19060,8622
13-Jul-01,19857,9095
20-Jul-01,19948,9176
27-Jul-01,20175,9007
3-Aug-01,19187,8959
10-Aug-01,19943,8671
17-Aug-01,20294,9035
24-Aug-01,20079,8943
31-Aug-01,19955,8612
7-Sep-01,19522,8529
14-Sep-01,19069,8969
21-Sep-01,17889,7834
28-Sep-01,19549,8514
5-Oct-01,19431,8500
12-Oct-01,19607,8766
19-Oct-01,19889,8619
26-Oct-01,20172,8702
2-Nov-01,20490,8797
9-Nov-01,19126,8771
16-Nov-01,19622,8612
23-Nov-01,19041,8868
30-Nov-01,19224,8517
7-Dec-01,19411,8327
14-Dec-01,20468,8622
21-Dec-01,20516,8888
28-Dec-01,19609,8860
4-Jan-02,18954,8288
11-Jan-02,19630,8359
18-Jan-02,19007,8049
25-Jan-02,18899,8184
1-Feb-02,19242,8223
8-Feb-02,18943,8117
15-Feb-02,19782,8428
22-Feb-02,19336,8729
1-Mar-02,19855,8782
8-Mar-02,18459,8277
15-Mar-02,18856,8713
22-Mar-02,19573,8621
29-Mar-02,19220,8386
5-Apr-02,19517,8865
12-Apr-02,19727,8840
19-Apr-02,19153,8684
26-Apr-02,19472,8699
3-May-02,19368,8521
10-May-02,19236,8548
17-May-02,19875,9190
24-May-02,19353,8685
31-May-02,19587,8778
7-Jun-02,19338,9004
14-Jun-02,18953,8771
21-Jun-02,20108,8752
28-Jun-02,20191,9172
5-Jul-02,19433,9004
12-Jul-02,19013,8985
19-Jul-02,19620,9056
26-Jul-02,20066,9093
2-Aug-02,20290,9297
9-Aug-02,20357,9270
16-Aug-02,20181,8939
23-Aug-02,20328,9173
30-Aug-02,20015,9135
6-Sep-02,19209,8844
13-Sep-02,19512,8899
20-Sep-02,19360,8625
27-Sep-02,19224,8582
4-Oct-02,19711,8895
11-Oct-02,18804,9090
18-Oct-02,19043,8653
25-Oct-02,19990,9022
1-Nov-02,19796,9324
8-Nov-02,19214,8759
15-Nov-02,19611,8540
22-Nov-02,20498,8667
29-Nov-02,20681,9060
6-Dec-02,19508,8616
13-Dec-02,19950,8854
20-Dec-02,20211,9063
27-Dec-02,20434,8989
3-Jan-03,19780,8411
10-Jan-03,19263,8335
17-Jan-03,20105,8645
24-Jan-03,20281,8793
31-Jan-03,20819,8551
7-Feb-03,19151,8106
14-Feb-03,20353,8454
21-Feb-03,20064,8619
28-Feb-03,20078,8421
7-Mar-03,19887,9020
14-Mar-03,20301,8596
21-Mar-03,20164,8666
28-Mar-03,19831,8284
4-Apr-03,20767,8458
11-Apr-03,19698,8640
18-Apr-03,19459,8737
25-Apr-03,19396,8358
2-May-03,20701,8834
9-May-03,19854,8894
16-May-03,19895,8992
23-May-03,20598,9299
30-May-03,19977,8516
6-Jun-03,19849,8529
13-Jun-03,20589,8880
20-Jun-03,20027,8833
27-Jun-03,20727,9476
4-Jul-03,20226,9050
11-Jul-03,19181,8763
18-Jul-03,20040,9177
25-Jul-03,20292,9563
1-Aug-03,20003,9303
8-Aug-03,20737,9381
15-Aug-03,20573,9325
22-Aug-03,20590,9668
29-Aug-03,20291,9337
5-Sep-03,18892,8886
12-Sep-03,19265,8974
19-Sep-03,19083,9166
26-Sep-03,18949,8690
3-Oct-03,19971,9190
10-Oct-03,20164,9156
17-Oct-03,19192,8754
24-Oct-03,19681,9413
31-Oct-03,20555,9316
7-Nov-03,20203,8995
14-Nov-03,20124,9232
21-Nov-03,20068,8725
28-Nov-03,19768,8979
5-Dec-03,19714,8776
12-Dec-03,20530,8930
19-Dec-03,20345,9166
26-Dec-03,20109,8726
2-Jan-04,19320,8686
9-Jan-04,19303,8411
16-Jan-04,20011,8426
23-Jan-04,20810,8543
30-Jan-04,20754,8514
6-Feb-04,20326,8627
13-Feb-04,21071,8727
20-Feb-04,20941,8796
27-Feb-04,19503,8970
5-Mar-04,19662,8968
12-Mar-04,19501,9044
19-Mar-04,19574,8818
26-Mar-04,19570,8731
2-Apr-04,20580,9249
9-Apr-04,20639,9338
16-Apr-04,20051,8973
23-Apr-04,19553,9255
30-Apr-04,18932,8926
7-May-04,20706,9373
14-May-04,20606,9119
21-May-04,20440,9154
28-May-04,20240,9259
4-Jun-04,20618,9045
11-Jun-04,20322,9219
18-Jun-04,20598,9194
25-Jun-04,20700,9199
2-Jul-04,20222,9398
9-Jul-04,20316,9300
16-Jul-04,19678,8840
23-Jul-04,20682,9310
30-Jul-04,20689,9263
6-Aug-04,20767,9472
13-Aug-04,20477,9521
20-Aug-04,20863,9424
27-Aug-04,20699,9267
3-Sep-04,20926,9453
10-Sep-04,20350,9234
17-Sep-04,20209,9005
24-Sep-04,19888,8922
1-Oct-04,20299,8915
8-Oct-04,20438,8917
15-Oct-04,20601,9177
22-Oct-04,20308,8883
29-Oct-04,20216,8977
5-Nov-04,20475,9217
12-Nov-04,21403,9237
19-Nov-04,20404,8988
26-Nov-04,20118,9204
3-Dec-04,20526,9107
10-Dec-04,20928,9268
17-Dec-04,20782,9068
24-Dec-04,21449,9329
31-Dec-04,20847,9287
7-Jan-05,20466,8710
14-Jan-05,20210,8695
21-Jan-05,21225,8881
28-Jan-05,20957,8848
4-Feb-05,21064,8837
11-Feb-05,21007,8825
18-Feb-05,20597,8898
25-Feb-05,20730,8884
4-Mar-05,20291,9014
11-Mar-05,21263,9131
18-Mar-05,20851,9069
25-Mar-05,20325,9075
1-Apr-05,20213,9095
8-Apr-05,20195,9089
15-Apr-05,20559,9170
22-Apr-05,20380,9306
29-Apr-05,20402,9024
6-May-05,20385,9175
13-May-05,20273,9269
20-May-05,20584,9443
27-May-05,20433,9461
3-Jun-05,20592,9451
10-Jun-05,20998,9528
17-Jun-05,20471,9313
24-Jun-05,20169,9367
1-Jul-05,21497,9721
8-Jul-05,20656,9391
15-Jul-05,20404,9415
22-Jul-05,20972,9449
29-Jul-05,20854,9586
5-Aug-05,21575,9483
12-Aug-05,21352,9408
19-Aug-05,21499,9471
26-Aug-05,21592,9406
2-Sep-05,20871,9027
9-Sep-05,19952,8636
16-Sep-05,20381,8819
23-Sep-05,19672,8836
30-Sep-05,19755,8840
7-Oct-05,20246,8783
14-Oct-05,20404,8961
21-Oct-05,20837,8981
28-Oct-05,20435,9045
4-Nov-05,20174,9246
11-Nov-05,20705,9151
18-Nov-05,20655,9124
25-Nov-05,20374,9189
2-Dec-05,20535,9221
9-Dec-05,21642,9268
16-Dec-05,22156,9326
23-Dec-05,21878,9249
30-Dec-05,20801,9358
6-Jan-06,20772,8950
13-Jan-06,20805,8859
20-Jan-06,19834,8826
27-Jan-06,20220,8879
3-Feb-06,19803,8967
10-Feb-06,21020,9083
17-Feb-06,21088,9046
24-Feb-06,20889,8951
3-Mar-06,19880,9057
10-Mar-06,20897,9106
17-Mar-06,20621,9100
24-Mar-06,20604,9054
31-Mar-06,20532,9063
7-Apr-06,20738,9297
14-Apr-06,20415,9100
21-Apr-06,20734,9012
28-Apr-06,20111,9099
5-May-06,21200,9346
12-May-06,20953,9327
19-May-06,20976,9193
26-May-06,21272,9430
2-Jun-06,20603,9367
9-Jun-06,20701,9413
16-Jun-06,20971,9429
23-Jun-06,20877,9540
30-Jun-06,20881,9645
7-Jul-06,20563,9621
14-Jul-06,20445,9569
21-Jul-06,20909,9573
28-Jul-06,21113,9639
4-Aug-06,21283,9697
11-Aug-06,21032,9530
18-Aug-06,21454,9571
25-Aug-06,21294,9610
1-Sep-06,21173,9622
8-Sep-06,20953,9368
15-Sep-06,20760,9229
22-Sep-06,20705,9287
29-Sep-06,20228,9081
6-Oct-06,20938,9242
13-Oct-06,21441,9298
20-Oct-06,21502,9511
27-Oct-06,21484,9499
3-Nov-06,21076,9256
10-Nov-06,21317,9110
17-Nov-06,20331,9149
24-Nov-06,21158,9320
1-Dec-06,21116,9477
8-Dec-06,21349,9394
15-Dec-06,20918,9491
22-Dec-06,20781,9229
29-Dec-06,20368,9247
5-Jan-07,19562,9201
12-Jan-07,20201,9060
19-Jan-07,20369,9008
26-Jan-07,20869,9090
2-Feb-07,21637,9136
9-Feb-07,21815,9061
16-Feb-07,22037,9198
23-Feb-07,21698,9121
2-Mar-07,21273,9191
9-Mar-07,21003,9158
16-Mar-07,21344,9240
23-Mar-07,20807,9250
30-Mar-07,20747,9491
6-Apr-07,20823,9472
13-Apr-07,20825,9247
20-Apr-07,21076,9163
27-Apr-07,20796,9260
4-May-07,20795,9344
11-May-07,20831,9404
18-May-07,20786,9433
25-May-07,21235,9485
1-Jun-07,20972,9495
8-Jun-07,21062,9487
15-Jun-07,20517,9591
22-Jun-07,21087,9575
29-Jun-07,20616,9557
6-Jul-07,21069,9663
13-Jul-07,21008,9710
20-Jul-07,21006,9688
27-Jul-07,20900,9662
3-Aug-07,21090,9575
10-Aug-07,21139,9572
17-Aug-07,21305,9762
24-Aug-07,21260,9626
31-Aug-07,21422,9577
7-Sep-07,20449,9393
14-Sep-07,20559,9247
21-Sep-07,20184,9235
28-Sep-07,20640,9120
5-Oct-07,20792,9200
12-Oct-07,21024,9253
19-Oct-07,20660,9373
26-Oct-07,20412,9355
2-Nov-07,20661,9367
9-Nov-07,20627,9187
16-Nov-07,21350,9222
23-Nov-07,20863,9356
30-Nov-07,20795,9266
7-Dec-07,20977,9348
14-Dec-07,21050,9287
21-Dec-07,21535,9446
28-Dec-07,21349,9286
4-Jan-08,21288,9304
11-Jan-08,20469,9116
18-Jan-08,20749,8964
25-Jan-08,20785,8940
1-Feb-08,20490,8916
8-Feb-08,20118,9020
15-Feb-08,21311,9125
22-Feb-08,20407,9045
29-Feb-08,20383,9071
7-Mar-08,20081,9131
14-Mar-08,20164,9071
21-Mar-08,20485,9116
28-Mar-08,20402,9330
4-Apr-08,20769,9286
11-Apr-08,20591,9338
18-Apr-08,21116,9215
25-Apr-08,20241,9189
2-May-08,20496,9311
9-May-08,20274,9343
16-May-08,20347,9359
23-May-08,20807,9373
30-May-08,20153,9129
6-Jun-08,20243,9411
13-Jun-08,20456,9251
20-Jun-08,20079,9334
27-Jun-08,20590,9357
4-Jul-08,20320,9347
11-Jul-08,20198,9344
18-Jul-08,19903,9342
25-Jul-08,20204,9468
1-Aug-08,20215,9484
8-Aug-08,20372,9446
15-Aug-08,20106,9423
22-Aug-08,20133,9411
29-Aug-08,20555,9424
5-Sep-08,19784,9090
12-Sep-08,19049,8907
19-Sep-08,18784,8741
26-Sep-08,18465,8730
3-Oct-08,18341,8691
10-Oct-08,18865,8894
17-Oct-08,19193,9065
24-Oct-08,19113,9057
31-Oct-08,19216,9095
7-Nov-08,19004,9002
14-Nov-08,18972,8962
21-Nov-08,19482,8844
28-Nov-08,19606,8933
5-Dec-08,19149,9015
12-Dec-08,20192,9175
19-Dec-08,20191,8867
26-Dec-08,20211,9106
2-Jan-09,19836,8990
9-Jan-09,18640,8758
16-Jan-09,19097,8641
23-Jan-09,20151,8650
30-Jan-09,20306,9015
6-Feb-09,19662,9006
13-Feb-09,19690,8908
20-Feb-09,19233,9010
27-Feb-09,19577,9204
6-Mar-09,18892,8972
13-Mar-09,18787,8955
20-Mar-09,19191,9100
27-Mar-09,18591,9125
3-Apr-09,18867,9024
10-Apr-09,18239,8944
17-Apr-09,18160,9136
24-Apr-09,18429,9151
1-May-09,18019,8923
8-May-09,18168,8911
15-May-09,18403,9232
22-May-09,18579,9538
29-May-09,17679,9020
5-Jun-09,18725,9141
12-Jun-09,18964,9354
19-Jun-09,17913,9129
26-Jun-09,18169,9053
3-Jul-09,18494,9229
10-Jul-09,18846,9163
17-Jul-09,18917,9255
24-Jul-09,18713,9171
31-Jul-09,19287,9199
7-Aug-09,18702,8951
14-Aug-09,19279,9205
